Artists,Recognized by SD?,Tags
Maximilien Luce,Yes,"landscape, impressionism, vibrant"
Maya Takamura,No,
Michael Ancher,Yes,"impressionism, scene"
Michael Cheval,Yes,"surrealism, scene, character"
Michael Parkes,Yes,"magic realism, fantasy, art nouveau"
Michael Whelan,Yes,"fantasy, sci-fi"
Michal Karcz,Yes,"landscape, fantasy, sci-fi, photography"
Michelangelo Buonarroti,Yes,renaissance
Miho Hirano,Yes,"portrait, magic realism"
Mikalojus Ciurlionis,Yes,"art nouveau, symbolism"
Mike Allred,Yes,"comics, vibrant"
Mike Mignola,Yes,"character, comic, flat colors, pop art, dark"
Miki Asai,Yes,"photography, vibrant, macro"
Mikko Lagerstedt,Yes,"photography, landscape, dark, light"
Miles Aldridge,Yes,"photography, portrait, surrealism, pop art"
Milton Avery,Yes,"abstract, low contrast"
Miss Aniela,Yes,"whimsical, photography, scene"
Mordecai Ardon,Yes,"abstract, figurativism, expressionism"
Mort Kunstler,Yes,"scene, detailed, realism"
Naoki Urasawa,Yes,"character, manga"
Nathan Wirth,Yes,"landscape, monochromatic, photography, scene"
Neal Adams,Yes,comics
Nicholas Roerich,Yes,"landscape, art nouveau, symbolism"
Nick Alm,Yes,"figurativism, realism, portrait"
Nobuyoshi Araki,Yes,"photography, scene, dark, bdsm"
Norman Ackroyd,Yes,"landscape, monochromatic, high contrast"
Norman Rockwell,Yes,"realism, scene"
Ohara Koson,Yes,"animals, flat colors, ukiyo-e"
Oleg Oprisco,Yes,"photography, portrait, surrealism, flowers, scene"
Oleksiy Rysyuk,No,
Owlturd,Yes,"cartoon, colorful, comic, high contrast"
Pablo Picasso,Yes,"cubism, surrealism, impressionism"
Paolo Roversi,Yes,"fashion, photography, dark"
Pascal Blanché,No,
Patrice Murciano,Yes,"colorful, vibrant, portrait"
Paul Cadmus,Yes,"detailed, painting, realism"
Paul Delvaux,Yes,"surrealism, scene"
Paul Signac,Yes,"divisionism, colorful, vibrant"
Paul Strand,Yes,"photography, monochromatic"
Peder Severin Krøyer,Yes,"impressionism, portrait, realism"
Peter Elson,Yes,"colorful, sci-fi"
Peter Holme III,Yes,"photography, landscape"
Peter Mohrbacher,Yes,"detailed, surrealism, fantasy"
Peter Paul Rubens,Yes,"painting, renaissance, romanticism, scene"
Peter Wileman,Yes,"scene, vibrant, watercolor"
Piet Mondrian,Yes,"angular, cubism, vibrant"
Pieter Aertsen,Yes,"detailed, scene, renaissance"
PiNe(パイネ),Yes,anime
Pixar,Yes,"character, colorful"
Rafael Albuquerque,Yes,"comics, high contrast"
Ralph McQuarrie,Yes,"sci-fi, landscape, scene, clean"
Ramon Casas,Yes,"impressionism, scene"
Raphael Lacoste,Yes,"fantasy, landscape, dark"
Rashad Alakbarov,Yes,"installation, light"
